generated_at_utc,strategy_id,profile,symbol,interval,capital_usdt,start_time_utc,end_time_utc,trade_count,win_rate,profit_factor,max_drawdown,net_pnl,benchmark_net_pnl,excess_return,report_path_json,report_path_md
2026-02-28T08:14:10Z,btc_regime_router_v8_weekly,v8,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,9,0.33333333,0.77091119,351.65541340,-104.90860018,24524.52579433,-24629.43439450,strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_081410.json,strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_081410.md
2026-02-28T08:16:33Z,btc_regime_router_v9_range_active,v9,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,74,0.37837838,1.25615473,2746.64433598,1887.07776975,24524.52579433,-22637.44802457,strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_081633.json,strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_081633.md
2026-02-28T08:18:18Z,btc_regime_router_v10_startpoint_only,v10,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,10,0.30000000,0.94677570,24434.18407630,-1288.99873082,24524.52579433,-25813.52452514,strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_081818.json,strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_081818.md
2026-02-28T08:18:21Z,btc_regime_router_v11_sprint,v11,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,404,0.39356436,1.32058392,10490.05364825,20813.71736571,24524.52579433,-3710.80842862,strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_081821.json,strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_081821.md
2026-02-28T09:00:15Z,btc_regime_router_v8_weekly,v8,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,9,0.33333333,0.77091119,351.65541340,-104.90860018,24524.52579433,-24629.43439450,strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_090015.json,strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_090015.md
2026-02-28T09:02:39Z,btc_regime_router_v9_range_active,v9,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,74,0.37837838,1.25615473,2746.64433598,1887.07776975,24524.52579433,-22637.44802457,strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_090239.json,strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_090239.md
2026-02-28T09:04:23Z,btc_regime_router_v10_startpoint_only,v10,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,10,0.30000000,0.94677570,24434.18407630,-1288.99873082,24524.52579433,-25813.52452514,strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_090423.json,strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_090423.md
2026-02-28T09:04:27Z,btc_regime_router_v11_sprint,v11,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,404,0.37376238,1.19762633,12578.92480774,13667.67133471,24524.52579433,-10856.85445962,strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_090427.json,strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_090427.md
2026-02-28T09:04:30Z,btc_regime_router_v12_cost_robust,v12,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,276,0.36231884,1.22046316,6009.35204334,7652.10435734,24524.52579433,-16872.42143698,strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_090430.json,strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_090430.md
2026-02-28T09:21:32Z,btc_regime_router_v8_weekly,v8,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,9,0.33333333,0.77091119,351.65541340,-104.90860018,24524.52579433,-24629.43439450,strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_092132.json,strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_092132.md
2026-02-28T09:23:55Z,btc_regime_router_v9_range_active,v9,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,74,0.37837838,1.25615473,2746.64433598,1887.07776975,24524.52579433,-22637.44802457,strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_092355.json,strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_092355.md
2026-02-28T09:25:39Z,btc_regime_router_v10_startpoint_only,v10,BTCUSDT,4h,10000.0000,2018-01-01T00:00:00Z,2021-12-31T23:59:59Z,10,0.30000000,0.94677570,24434.18407630,-1288.99873082,24524.52579433,-25813.52452514,strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_092539.json,strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_092539.md
