scenario	window	profile	json	md
base	FULL	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20260228_20260228_085410.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20260228_20260228_085410.md
base	FULL	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20260228_20260228_085701.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20260228_20260228_085701.md
base	FULL	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20260228_20260228_085905.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20260228_20260228_085905.md
base	FULL	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20260228_20260228_085919.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20260228_20260228_085919.md
base	FULL	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20260228_20260228_085932.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20260228_20260228_085932.md
base	A	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_090015.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_090015.md
base	A	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_090239.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_090239.md
base	A	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_090423.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_090423.md
base	A	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_090427.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_090427.md
base	A	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_090430.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_090430.md
base	B	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20220101_20231231_20260228_090511.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20220101_20231231_20260228_090511.md
base	B	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20220101_20231231_20260228_090736.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20220101_20231231_20260228_090736.md
base	B	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20220101_20231231_20260228_090920.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20220101_20231231_20260228_090920.md
base	B	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20220101_20231231_20260228_090924.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20220101_20231231_20260228_090924.md
base	B	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20220101_20231231_20260228_090928.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20220101_20231231_20260228_090928.md
base	C	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20240101_20260228_20260228_091013.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20240101_20260228_20260228_091013.md
base	C	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20240101_20260228_20260228_091239.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20240101_20260228_20260228_091239.md
base	C	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20240101_20260228_20260228_091421.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20240101_20260228_20260228_091421.md
base	C	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20240101_20260228_20260228_091428.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20240101_20260228_20260228_091428.md
base	C	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20240101_20260228_20260228_091434.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20240101_20260228_20260228_091434.md
a	FULL	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20260228_20260228_091521.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20260228_20260228_091521.md
a	FULL	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20260228_20260228_091816.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20260228_20260228_091816.md
a	FULL	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20260228_20260228_092024.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20260228_20260228_092024.md
a	FULL	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20260228_20260228_092038.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20260228_20260228_092038.md
a	FULL	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20260228_20260228_092051.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20260228_20260228_092051.md
a	A	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_092132.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_092132.md
a	A	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_092355.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_092355.md
a	A	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_092539.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_092539.md
a	A	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_092543.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_092543.md
a	A	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_092546.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_092546.md
a	B	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20220101_20231231_20260228_092629.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20220101_20231231_20260228_092629.md
a	B	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20220101_20231231_20260228_092853.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20220101_20231231_20260228_092853.md
a	B	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20220101_20231231_20260228_093037.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20220101_20231231_20260228_093037.md
a	B	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20220101_20231231_20260228_093042.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20220101_20231231_20260228_093042.md
a	B	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20220101_20231231_20260228_093045.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20220101_20231231_20260228_093045.md
a	C	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20240101_20260228_20260228_093131.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20240101_20260228_20260228_093131.md
a	C	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20240101_20260228_20260228_093356.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20240101_20260228_20260228_093356.md
a	C	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20240101_20260228_20260228_093539.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20240101_20260228_20260228_093539.md
a	C	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20240101_20260228_20260228_093546.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20240101_20260228_20260228_093546.md
a	C	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20240101_20260228_20260228_093553.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20240101_20260228_20260228_093553.md
b	FULL	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20260228_20260228_093640.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20260228_20260228_093640.md
b	FULL	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20260228_20260228_093932.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20260228_20260228_093932.md
b	FULL	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20260228_20260228_094137.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20260228_20260228_094137.md
b	FULL	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20260228_20260228_094151.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20260228_20260228_094151.md
b	FULL	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20260228_20260228_094204.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20260228_20260228_094204.md
b	A	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_094247.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20180101_20211231_20260228_094247.md
b	A	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_094514.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20180101_20211231_20260228_094514.md
b	A	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_094656.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20180101_20211231_20260228_094656.md
b	A	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_094700.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20180101_20211231_20260228_094700.md
b	A	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_094704.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20180101_20211231_20260228_094704.md
b	B	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20220101_20231231_20260228_094744.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20220101_20231231_20260228_094744.md
b	B	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20220101_20231231_20260228_095007.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20220101_20231231_20260228_095007.md
b	B	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20220101_20231231_20260228_095150.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20220101_20231231_20260228_095150.md
b	B	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20220101_20231231_20260228_095155.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20220101_20231231_20260228_095155.md
b	B	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20220101_20231231_20260228_095158.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20220101_20231231_20260228_095158.md
b	C	v8	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20240101_20260228_20260228_095243.json	strategies/spot_btc_conservative_v1/reports/replay_v8_10k_20240101_20260228_20260228_095243.md
b	C	v9	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20240101_20260228_20260228_095507.json	strategies/spot_btc_conservative_v1/reports/replay_v9_10k_20240101_20260228_20260228_095507.md
b	C	v10	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20240101_20260228_20260228_095652.json	strategies/spot_btc_conservative_v1/reports/replay_v10_10k_20240101_20260228_20260228_095652.md
b	C	v11	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20240101_20260228_20260228_095659.json	strategies/spot_btc_conservative_v1/reports/replay_v11_10k_20240101_20260228_20260228_095659.md
b	C	v12	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20240101_20260228_20260228_095705.json	strategies/spot_btc_conservative_v1/reports/replay_v12_10k_20240101_20260228_20260228_095705.md
