symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2025-12-13 16:00:00+00:00,6.041e-05,90055.4
BTCUSDT,2025-12-14 00:00:00+00:00,0.0001,90197.0
BTCUSDT,2025-12-14 08:00:00.003000+00:00,2.898e-05,90205.0
BTCUSDT,2025-12-14 16:00:00.005000+00:00,3.773e-05,88985.2
BTCUSDT,2025-12-15 00:00:00+00:00,1.9e-06,88108.1
BTCUSDT,2025-12-15 08:00:00+00:00,-8.93e-06,89703.0
BTCUSDT,2025-12-15 16:00:00+00:00,3.081e-05,86995.88862819
BTCUSDT,2025-12-16 00:00:00.002000+00:00,7.467e-05,86389.99156522
BTCUSDT,2025-12-16 08:00:00+00:00,1.35e-05,85964.2
BTCUSDT,2025-12-16 16:00:00.002000+00:00,4.089e-05,87940.4
BTCUSDT,2025-12-17 00:00:00.004000+00:00,6.221e-05,87826.3
BTCUSDT,2025-12-17 08:00:00+00:00,8.987e-05,87010.4
BTCUSDT,2025-12-17 16:00:00+00:00,5.917e-05,87198.3
BTCUSDT,2025-12-18 00:00:00.005000+00:00,6.23e-05,86206.73265942
BTCUSDT,2025-12-18 08:00:00.007000+00:00,-8.67e-06,86787.5
BTCUSDT,2025-12-18 16:00:00.001000+00:00,8.355e-05,88487.0
BTCUSDT,2025-12-19 00:00:00+00:00,5.491e-05,85473.7159058
BTCUSDT,2025-12-19 08:00:00.001000+00:00,0.0001,87913.9
BTCUSDT,2025-12-19 16:00:00+00:00,0.0001,87936.1810045
BTCUSDT,2025-12-20 00:00:00.005000+00:00,0.0001,88100.0531087
BTCUSDT,2025-12-20 08:00:00+00:00,1.234e-05,88239.9
BTCUSDT,2025-12-20 16:00:00.002000+00:00,7.171e-05,88134.6
BTCUSDT,2025-12-21 00:00:00+00:00,9.682e-05,88320.8
BTCUSDT,2025-12-21 08:00:00.009000+00:00,8.873e-05,88141.4479058
BTCUSDT,2025-12-21 16:00:00+00:00,3.977e-05,88024.7
BTCUSDT,2025-12-22 00:00:00+00:00,4.389e-05,88621.3
BTCUSDT,2025-12-22 08:00:00.005000+00:00,4.524e-05,89132.4210942
BTCUSDT,2025-12-22 16:00:00.009000+00:00,6.654e-05,89688.5
BTCUSDT,2025-12-23 00:00:00+00:00,2.633e-05,88579.9
BTCUSDT,2025-12-23 08:00:00+00:00,5.231e-05,87531.60234783
BTCUSDT,2025-12-23 16:00:00.001000+00:00,1.795e-05,87407.18552899
