symbol,longAccount,longShortRatio,shortAccount,ts
BTCUSDT,0.7023,2.3591,0.2977,2026-02-06 07:00:00+00:00
BTCUSDT,0.704,2.3784,0.296,2026-02-06 08:00:00+00:00
BTCUSDT,0.6977,2.308,0.3023,2026-02-06 09:00:00+00:00
BTCUSDT,0.6954,2.283,0.3046,2026-02-06 10:00:00+00:00
BTCUSDT,0.6852,2.1766,0.3148,2026-02-06 11:00:00+00:00
BTCUSDT,0.6849,2.1736,0.3151,2026-02-06 12:00:00+00:00
BTCUSDT,0.6755,2.0817,0.3245,2026-02-06 13:00:00+00:00
BTCUSDT,0.6937,2.2648,0.3063,2026-02-06 14:00:00+00:00
BTCUSDT,0.6851,2.1756,0.3149,2026-02-06 15:00:00+00:00
BTCUSDT,0.686,2.1847,0.314,2026-02-06 16:00:00+00:00
BTCUSDT,0.6861,2.1857,0.3139,2026-02-06 17:00:00+00:00
BTCUSDT,0.6764,2.0902,0.3236,2026-02-06 18:00:00+00:00
BTCUSDT,0.6546,1.8952,0.3454,2026-02-06 19:00:00+00:00
BTCUSDT,0.6602,1.9429,0.3398,2026-02-06 20:00:00+00:00
BTCUSDT,0.6523,1.876,0.3477,2026-02-06 21:00:00+00:00
BTCUSDT,0.6498,1.8555,0.3502,2026-02-06 22:00:00+00:00
BTCUSDT,0.6549,1.8977,0.3451,2026-02-06 23:00:00+00:00
BTCUSDT,0.6492,1.8506,0.3508,2026-02-07 00:00:00+00:00
BTCUSDT,0.6343,1.7345,0.3657,2026-02-07 01:00:00+00:00
BTCUSDT,0.6377,1.7601,0.3623,2026-02-07 02:00:00+00:00
BTCUSDT,0.6321,1.7181,0.3679,2026-02-07 03:00:00+00:00
BTCUSDT,0.6343,1.7345,0.3657,2026-02-07 04:00:00+00:00
BTCUSDT,0.627,1.681,0.373,2026-02-07 05:00:00+00:00
BTCUSDT,0.6292,1.6969,0.3708,2026-02-07 06:00:00+00:00
BTCUSDT,0.6173,1.613,0.3827,2026-02-07 07:00:00+00:00
BTCUSDT,0.6248,1.6652,0.3752,2026-02-07 08:00:00+00:00
BTCUSDT,0.627,1.681,0.373,2026-02-07 09:00:00+00:00
BTCUSDT,0.6169,1.6103,0.3831,2026-02-07 10:00:00+00:00
BTCUSDT,0.6105,1.5674,0.3895,2026-02-07 11:00:00+00:00
BTCUSDT,0.6126,1.5813,0.3874,2026-02-07 12:00:00+00:00
BTCUSDT,0.6274,1.6838,0.3726,2026-02-07 13:00:00+00:00
BTCUSDT,0.6298,1.7012,0.3702,2026-02-07 14:00:00+00:00
BTCUSDT,0.6189,1.624,0.3811,2026-02-07 15:00:00+00:00
BTCUSDT,0.6277,1.686,0.3723,2026-02-07 16:00:00+00:00
BTCUSDT,0.6253,1.6688,0.3747,2026-02-07 17:00:00+00:00
BTCUSDT,0.6252,1.6681,0.3748,2026-02-07 18:00:00+00:00
BTCUSDT,0.6259,1.6731,0.3741,2026-02-07 19:00:00+00:00
BTCUSDT,0.6248,1.6652,0.3752,2026-02-07 20:00:00+00:00
BTCUSDT,0.6252,1.6681,0.3748,2026-02-07 21:00:00+00:00
BTCUSDT,0.6251,1.6674,0.3749,2026-02-07 22:00:00+00:00
BTCUSDT,0.6237,1.6575,0.3763,2026-02-07 23:00:00+00:00
BTCUSDT,0.62,1.6316,0.38,2026-02-08 00:00:00+00:00
BTCUSDT,0.616,1.6042,0.384,2026-02-08 01:00:00+00:00
BTCUSDT,0.6169,1.6103,0.3831,2026-02-08 02:00:00+00:00
BTCUSDT,0.6179,1.6171,0.3821,2026-02-08 03:00:00+00:00
BTCUSDT,0.6176,1.6151,0.3824,2026-02-08 04:00:00+00:00
BTCUSDT,0.6162,1.6055,0.3838,2026-02-08 05:00:00+00:00
BTCUSDT,0.6157,1.6021,0.3843,2026-02-08 06:00:00+00:00
BTCUSDT,0.6141,1.5913,0.3859,2026-02-08 07:00:00+00:00
BTCUSDT,0.616,1.6042,0.384,2026-02-08 08:00:00+00:00
BTCUSDT,0.6338,1.7307,0.3662,2026-02-08 09:00:00+00:00
BTCUSDT,0.6293,1.6976,0.3707,2026-02-08 10:00:00+00:00
BTCUSDT,0.6281,1.6889,0.3719,2026-02-08 11:00:00+00:00
BTCUSDT,0.6343,1.7345,0.3657,2026-02-08 12:00:00+00:00
BTCUSDT,0.6289,1.6947,0.3711,2026-02-08 13:00:00+00:00
BTCUSDT,0.6254,1.6695,0.3746,2026-02-08 14:00:00+00:00
BTCUSDT,0.6168,1.6096,0.3832,2026-02-08 15:00:00+00:00
BTCUSDT,0.6068,1.5432,0.3932,2026-02-08 16:00:00+00:00
BTCUSDT,0.599,1.4938,0.401,2026-02-08 17:00:00+00:00
BTCUSDT,0.6029,1.5183,0.3971,2026-02-08 18:00:00+00:00
BTCUSDT,0.6077,1.5491,0.3923,2026-02-08 19:00:00+00:00
BTCUSDT,0.6071,1.5452,0.3929,2026-02-08 20:00:00+00:00
BTCUSDT,0.6048,1.5304,0.3952,2026-02-08 21:00:00+00:00
