symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,ts
BTCUSDT,86313.364,5606060195.212989,19984921.0,2026-02-06 07:00:00+00:00
BTCUSDT,86306.542,5591921685.3388,19984921.0,2026-02-06 08:00:00+00:00
BTCUSDT,85550.892,5547992456.3784,19984921.0,2026-02-06 09:00:00+00:00
BTCUSDT,86310.061,5677372069.76306,19984921.0,2026-02-06 10:00:00+00:00
BTCUSDT,86988.34,5735089063.196,19984921.0,2026-02-06 11:00:00+00:00
BTCUSDT,87189.546,5806815044.6454,19984921.0,2026-02-06 12:00:00+00:00
BTCUSDT,87140.055,5797799222.280675,19984921.0,2026-02-06 13:00:00+00:00
BTCUSDT,86333.498,5808267778.057019,19984921.0,2026-02-06 14:00:00+00:00
BTCUSDT,86903.049,5920423404.308533,19984921.0,2026-02-06 15:00:00+00:00
BTCUSDT,87652.0,6010227518.4,19984921.0,2026-02-06 16:00:00+00:00
BTCUSDT,88212.753,6166686474.468689,19984921.0,2026-02-06 17:00:00+00:00
BTCUSDT,86782.825,6138120607.746563,19984921.0,2026-02-06 18:00:00+00:00
BTCUSDT,85194.607,5939749381.931769,19984921.0,2026-02-06 19:00:00+00:00
BTCUSDT,84794.383,5993190675.4953,19984921.0,2026-02-06 20:00:00+00:00
BTCUSDT,84537.847,5913795090.099911,19984921.0,2026-02-06 21:00:00+00:00
BTCUSDT,83996.164,5905207516.5412,19984921.0,2026-02-06 22:00:00+00:00
BTCUSDT,85239.803,6079934383.694695,19984921.0,2026-02-06 23:00:00+00:00
BTCUSDT,85124.108,6004867388.59,19984921.0,2026-02-07 00:00:00+00:00
BTCUSDT,84908.338,5936615185.324036,19984921.0,2026-02-07 01:00:00+00:00
BTCUSDT,85099.374,5994264240.124271,19984921.0,2026-02-07 02:00:00+00:00
BTCUSDT,85006.352,5977850687.8848,19985371.0,2026-02-07 03:00:00+00:00
BTCUSDT,85732.406,6077731355.636959,19985371.0,2026-02-07 04:00:00+00:00
BTCUSDT,86256.392,6102506219.10575,19985371.0,2026-02-07 05:00:00+00:00
BTCUSDT,85034.467,5962999481.1415,19985371.0,2026-02-07 06:00:00+00:00
BTCUSDT,86871.917,5970862000.470428,19985371.0,2026-02-07 07:00:00+00:00
BTCUSDT,85702.189,5833490898.663,19985371.0,2026-02-07 08:00:00+00:00
BTCUSDT,83307.196,5704919161.961799,19985371.0,2026-02-07 09:00:00+00:00
BTCUSDT,83007.414,5653251436.595552,19985371.0,2026-02-07 10:00:00+00:00
BTCUSDT,82945.438,5636881762.714821,19985371.0,2026-02-07 11:00:00+00:00
BTCUSDT,83460.092,5670019924.1948,19985371.0,2026-02-07 12:00:00+00:00
BTCUSDT,83605.615,5768244177.224551,19985371.0,2026-02-07 13:00:00+00:00
BTCUSDT,83883.061,5793152180.588951,19985371.0,2026-02-07 14:00:00+00:00
BTCUSDT,83809.68,5750509002.552,19985371.0,2026-02-07 15:00:00+00:00
BTCUSDT,82957.357,5734186726.2897,19985371.0,2026-02-07 16:00:00+00:00
BTCUSDT,82157.122,5666886604.778492,19985371.0,2026-02-07 17:00:00+00:00
BTCUSDT,81677.897,5648345121.3483,19985371.0,2026-02-07 18:00:00+00:00
BTCUSDT,81681.749,5675439563.659948,19985371.0,2026-02-07 19:00:00+00:00
BTCUSDT,81615.516,5656787922.9613085,19985371.0,2026-02-07 20:00:00+00:00
BTCUSDT,81712.883,5686930661.7095,19985371.0,2026-02-07 21:00:00+00:00
BTCUSDT,81503.086,5661717823.0018,19985371.0,2026-02-07 22:00:00+00:00
BTCUSDT,81361.335,5644982015.334802,19985371.0,2026-02-07 23:00:00+00:00
BTCUSDT,81369.395,5636836736.905389,19985371.0,2026-02-08 00:00:00+00:00
BTCUSDT,81602.411,5639456937.396771,19985371.0,2026-02-08 01:00:00+00:00
BTCUSDT,81553.761,5655825998.615945,19985371.0,2026-02-08 02:00:00+00:00
BTCUSDT,81449.597,5647948304.607337,19985893.0,2026-02-08 03:00:00+00:00
BTCUSDT,81719.091,5644174227.522057,19985893.0,2026-02-08 04:00:00+00:00
BTCUSDT,81698.863,5662342977.642127,19985893.0,2026-02-08 05:00:00+00:00
