symbol,longAccount,longShortRatio,shortAccount,ts
BTCUSDT,0.7354,2.7793,0.2646,2026-02-06 07:00:00+00:00
BTCUSDT,0.7362,2.7908,0.2638,2026-02-06 08:00:00+00:00
BTCUSDT,0.7312,2.7202,0.2688,2026-02-06 09:00:00+00:00
BTCUSDT,0.7276,2.6711,0.2724,2026-02-06 10:00:00+00:00
BTCUSDT,0.719,2.5587,0.281,2026-02-06 11:00:00+00:00
BTCUSDT,0.7174,2.5386,0.2826,2026-02-06 12:00:00+00:00
BTCUSDT,0.7103,2.4518,0.2897,2026-02-06 13:00:00+00:00
BTCUSDT,0.7221,2.5984,0.2779,2026-02-06 14:00:00+00:00
BTCUSDT,0.7126,2.4795,0.2874,2026-02-06 15:00:00+00:00
BTCUSDT,0.7111,2.4614,0.2889,2026-02-06 16:00:00+00:00
BTCUSDT,0.7089,2.4352,0.2911,2026-02-06 17:00:00+00:00
BTCUSDT,0.6972,2.3025,0.3028,2026-02-06 18:00:00+00:00
BTCUSDT,0.6804,2.1289,0.3196,2026-02-06 19:00:00+00:00
BTCUSDT,0.6832,2.1566,0.3168,2026-02-06 20:00:00+00:00
BTCUSDT,0.6777,2.1027,0.3223,2026-02-06 21:00:00+00:00
BTCUSDT,0.6761,2.0874,0.3239,2026-02-06 22:00:00+00:00
BTCUSDT,0.6794,2.1192,0.3206,2026-02-06 23:00:00+00:00
BTCUSDT,0.6749,2.076,0.3251,2026-02-07 00:00:00+00:00
BTCUSDT,0.6635,1.9718,0.3365,2026-02-07 01:00:00+00:00
BTCUSDT,0.665,1.9851,0.335,2026-02-07 02:00:00+00:00
BTCUSDT,0.6778,2.1037,0.3222,2026-02-07 03:00:00+00:00
BTCUSDT,0.6788,2.1133,0.3212,2026-02-07 04:00:00+00:00
BTCUSDT,0.672,2.0488,0.328,2026-02-07 05:00:00+00:00
BTCUSDT,0.6762,2.0883,0.3238,2026-02-07 06:00:00+00:00
BTCUSDT,0.6707,2.0367,0.3293,2026-02-07 07:00:00+00:00
BTCUSDT,0.6814,2.1387,0.3186,2026-02-07 08:00:00+00:00
BTCUSDT,0.6826,2.1506,0.3174,2026-02-07 09:00:00+00:00
BTCUSDT,0.6752,2.0788,0.3248,2026-02-07 10:00:00+00:00
BTCUSDT,0.6692,2.023,0.3308,2026-02-07 11:00:00+00:00
BTCUSDT,0.6719,2.0479,0.3281,2026-02-07 12:00:00+00:00
BTCUSDT,0.6808,2.1328,0.3192,2026-02-07 13:00:00+00:00
BTCUSDT,0.6833,2.1576,0.3167,2026-02-07 14:00:00+00:00
BTCUSDT,0.6762,2.0883,0.3238,2026-02-07 15:00:00+00:00
BTCUSDT,0.6826,2.1506,0.3174,2026-02-07 16:00:00+00:00
BTCUSDT,0.6803,2.1279,0.3197,2026-02-07 17:00:00+00:00
BTCUSDT,0.6808,2.1328,0.3192,2026-02-07 18:00:00+00:00
BTCUSDT,0.6807,2.1319,0.3193,2026-02-07 19:00:00+00:00
BTCUSDT,0.6797,2.1221,0.3203,2026-02-07 20:00:00+00:00
BTCUSDT,0.6802,2.127,0.3198,2026-02-07 21:00:00+00:00
BTCUSDT,0.6806,2.1309,0.3194,2026-02-07 22:00:00+00:00
BTCUSDT,0.6799,2.124,0.3201,2026-02-07 23:00:00+00:00
BTCUSDT,0.678,2.1056,0.322,2026-02-08 00:00:00+00:00
BTCUSDT,0.6744,2.0713,0.3256,2026-02-08 01:00:00+00:00
BTCUSDT,0.6756,2.0826,0.3244,2026-02-08 02:00:00+00:00
BTCUSDT,0.6645,1.9806,0.3355,2026-02-08 03:00:00+00:00
BTCUSDT,0.6655,1.9895,0.3345,2026-02-08 04:00:00+00:00
BTCUSDT,0.6645,1.9806,0.3355,2026-02-08 05:00:00+00:00
BTCUSDT,0.6638,1.9744,0.3362,2026-02-08 06:00:00+00:00
BTCUSDT,0.6626,1.9638,0.3374,2026-02-08 07:00:00+00:00
BTCUSDT,0.6625,1.963,0.3375,2026-02-08 08:00:00+00:00
BTCUSDT,0.6724,2.0525,0.3276,2026-02-08 09:00:00+00:00
BTCUSDT,0.6692,2.023,0.3308,2026-02-08 10:00:00+00:00
BTCUSDT,0.6686,2.0175,0.3314,2026-02-08 11:00:00+00:00
BTCUSDT,0.6717,2.046,0.3283,2026-02-08 12:00:00+00:00
BTCUSDT,0.6674,2.0066,0.3326,2026-02-08 13:00:00+00:00
BTCUSDT,0.6606,1.9464,0.3394,2026-02-08 14:00:00+00:00
BTCUSDT,0.6544,1.8935,0.3456,2026-02-08 15:00:00+00:00
BTCUSDT,0.6474,1.8361,0.3526,2026-02-08 16:00:00+00:00
BTCUSDT,0.6434,1.8043,0.3566,2026-02-08 17:00:00+00:00
BTCUSDT,0.6459,1.8241,0.3541,2026-02-08 18:00:00+00:00
BTCUSDT,0.6487,1.8466,0.3513,2026-02-08 19:00:00+00:00
BTCUSDT,0.648,1.8409,0.352,2026-02-08 20:00:00+00:00
BTCUSDT,0.6474,1.8361,0.3526,2026-02-08 21:00:00+00:00
BTCUSDT,0.6485,1.845,0.3515,2026-02-08 22:00:00+00:00
BTCUSDT,0.6503,1.8596,0.3497,2026-02-08 23:00:00+00:00
BTCUSDT,0.6648,1.9833,0.3352,2026-02-09 00:00:00+00:00
BTCUSDT,0.6629,1.9665,0.3371,2026-02-09 01:00:00+00:00
BTCUSDT,0.6622,1.9603,0.3378,2026-02-09 02:00:00+00:00
BTCUSDT,0.6622,1.9603,0.3378,2026-02-09 03:00:00+00:00
BTCUSDT,0.6604,1.9446,0.3396,2026-02-09 04:00:00+00:00
BTCUSDT,0.6567,1.9129,0.3433,2026-02-09 05:00:00+00:00
BTCUSDT,0.6562,1.9087,0.3438,2026-02-09 06:00:00+00:00
BTCUSDT,0.6618,1.9568,0.3382,2026-02-09 07:00:00+00:00
BTCUSDT,0.6597,1.9386,0.3403,2026-02-09 08:00:00+00:00
BTCUSDT,0.6568,1.9138,0.3432,2026-02-09 09:00:00+00:00
BTCUSDT,0.6533,1.8843,0.3467,2026-02-09 10:00:00+00:00
BTCUSDT,0.6581,1.9248,0.3419,2026-02-09 11:00:00+00:00
BTCUSDT,0.6614,1.9533,0.3386,2026-02-09 12:00:00+00:00
BTCUSDT,0.6673,2.0057,0.3327,2026-02-09 13:00:00+00:00
BTCUSDT,0.6624,1.9621,0.3376,2026-02-09 14:00:00+00:00
BTCUSDT,0.6701,2.0312,0.3299,2026-02-09 15:00:00+00:00
BTCUSDT,0.6722,2.0506,0.3278,2026-02-09 16:00:00+00:00
BTCUSDT,0.6733,2.0609,0.3267,2026-02-09 17:00:00+00:00
BTCUSDT,0.6712,2.0414,0.3288,2026-02-09 18:00:00+00:00
BTCUSDT,0.6712,2.0414,0.3288,2026-02-09 19:00:00+00:00
BTCUSDT,0.6685,2.0166,0.3315,2026-02-09 20:00:00+00:00
BTCUSDT,0.6669,2.0021,0.3331,2026-02-09 21:00:00+00:00
BTCUSDT,0.6663,1.9967,0.3337,2026-02-09 22:00:00+00:00
BTCUSDT,0.6647,1.9824,0.3353,2026-02-09 23:00:00+00:00
BTCUSDT,0.6622,1.9603,0.3378,2026-02-10 00:00:00+00:00
BTCUSDT,0.6596,1.9377,0.3404,2026-02-10 01:00:00+00:00
BTCUSDT,0.6603,1.9438,0.3397,2026-02-10 02:00:00+00:00
BTCUSDT,0.6544,1.8935,0.3456,2026-02-10 03:00:00+00:00
BTCUSDT,0.6602,1.9429,0.3398,2026-02-10 04:00:00+00:00
BTCUSDT,0.6575,1.9197,0.3425,2026-02-10 05:00:00+00:00
BTCUSDT,0.6597,1.9386,0.3403,2026-02-10 06:00:00+00:00
BTCUSDT,0.6669,2.0021,0.3331,2026-02-10 07:00:00+00:00
BTCUSDT,0.6713,2.0423,0.3287,2026-02-10 08:00:00+00:00
BTCUSDT,0.679,2.1153,0.321,2026-02-10 09:00:00+00:00
BTCUSDT,0.6814,2.1387,0.3186,2026-02-10 10:00:00+00:00
BTCUSDT,0.683,2.1546,0.317,2026-02-10 11:00:00+00:00
