symbol,longAccount,longShortRatio,shortAccount,ts
BTCUSDT,0.6021,1.5132,0.3979,2026-02-06 07:00:00+00:00
BTCUSDT,0.5908,1.444,0.4092,2026-02-06 08:00:00+00:00
BTCUSDT,0.5915,1.4478,0.4085,2026-02-06 09:00:00+00:00
BTCUSDT,0.5904,1.4412,0.4096,2026-02-06 10:00:00+00:00
BTCUSDT,0.5937,1.4614,0.4063,2026-02-06 11:00:00+00:00
BTCUSDT,0.5881,1.428,0.4119,2026-02-06 12:00:00+00:00
BTCUSDT,0.5848,1.4088,0.4152,2026-02-06 13:00:00+00:00
BTCUSDT,0.5838,1.4025,0.4162,2026-02-06 14:00:00+00:00
BTCUSDT,0.5686,1.3183,0.4314,2026-02-06 15:00:00+00:00
BTCUSDT,0.5572,1.2585,0.4428,2026-02-06 16:00:00+00:00
BTCUSDT,0.5601,1.2734,0.4399,2026-02-06 17:00:00+00:00
BTCUSDT,0.5619,1.2827,0.4381,2026-02-06 18:00:00+00:00
BTCUSDT,0.5628,1.287,0.4372,2026-02-06 19:00:00+00:00
BTCUSDT,0.5629,1.2877,0.4371,2026-02-06 20:00:00+00:00
BTCUSDT,0.5607,1.2763,0.4393,2026-02-06 21:00:00+00:00
BTCUSDT,0.5587,1.266,0.4413,2026-02-06 22:00:00+00:00
BTCUSDT,0.5712,1.3322,0.4288,2026-02-06 23:00:00+00:00
BTCUSDT,0.5685,1.3174,0.4315,2026-02-07 00:00:00+00:00
BTCUSDT,0.5714,1.3329,0.4286,2026-02-07 01:00:00+00:00
BTCUSDT,0.5718,1.3353,0.4282,2026-02-07 02:00:00+00:00
BTCUSDT,0.5827,1.3966,0.4173,2026-02-07 03:00:00+00:00
BTCUSDT,0.5835,1.4011,0.4165,2026-02-07 04:00:00+00:00
BTCUSDT,0.583,1.3983,0.417,2026-02-07 05:00:00+00:00
BTCUSDT,0.5798,1.3799,0.4202,2026-02-07 06:00:00+00:00
BTCUSDT,0.5642,1.2945,0.4358,2026-02-07 07:00:00+00:00
BTCUSDT,0.5465,1.2052,0.4535,2026-02-07 08:00:00+00:00
BTCUSDT,0.5628,1.2874,0.4372,2026-02-07 09:00:00+00:00
BTCUSDT,0.5599,1.2723,0.4401,2026-02-07 10:00:00+00:00
BTCUSDT,0.5611,1.2786,0.4389,2026-02-07 11:00:00+00:00
BTCUSDT,0.5563,1.2537,0.4437,2026-02-07 12:00:00+00:00
BTCUSDT,0.5566,1.2551,0.4434,2026-02-07 13:00:00+00:00
BTCUSDT,0.5564,1.2544,0.4436,2026-02-07 14:00:00+00:00
BTCUSDT,0.5554,1.2491,0.4446,2026-02-07 15:00:00+00:00
BTCUSDT,0.5701,1.326,0.4299,2026-02-07 16:00:00+00:00
BTCUSDT,0.5702,1.3265,0.4298,2026-02-07 17:00:00+00:00
BTCUSDT,0.5699,1.3252,0.4301,2026-02-07 18:00:00+00:00
BTCUSDT,0.5699,1.325,0.4301,2026-02-07 19:00:00+00:00
BTCUSDT,0.5699,1.3251,0.4301,2026-02-07 20:00:00+00:00
BTCUSDT,0.5695,1.3227,0.4305,2026-02-07 21:00:00+00:00
BTCUSDT,0.5691,1.3206,0.4309,2026-02-07 22:00:00+00:00
BTCUSDT,0.5692,1.3212,0.4308,2026-02-07 23:00:00+00:00
BTCUSDT,0.5685,1.3173,0.4315,2026-02-08 00:00:00+00:00
BTCUSDT,0.5681,1.3153,0.4319,2026-02-08 01:00:00+00:00
BTCUSDT,0.5672,1.3104,0.4328,2026-02-08 02:00:00+00:00
BTCUSDT,0.5625,1.2857,0.4375,2026-02-08 03:00:00+00:00
BTCUSDT,0.5632,1.2891,0.4368,2026-02-08 04:00:00+00:00
BTCUSDT,0.563,1.2885,0.437,2026-02-08 05:00:00+00:00
BTCUSDT,0.5649,1.2982,0.4351,2026-02-08 06:00:00+00:00
BTCUSDT,0.5652,1.2997,0.4348,2026-02-08 07:00:00+00:00
BTCUSDT,0.5651,1.2996,0.4349,2026-02-08 08:00:00+00:00
BTCUSDT,0.5667,1.3081,0.4333,2026-02-08 09:00:00+00:00
BTCUSDT,0.5656,1.3022,0.4344,2026-02-08 10:00:00+00:00
BTCUSDT,0.5675,1.3123,0.4325,2026-02-08 11:00:00+00:00
BTCUSDT,0.5654,1.3009,0.4346,2026-02-08 12:00:00+00:00
BTCUSDT,0.5674,1.3114,0.4326,2026-02-08 13:00:00+00:00
BTCUSDT,0.5621,1.2836,0.4379,2026-02-08 14:00:00+00:00
BTCUSDT,0.5604,1.2749,0.4396,2026-02-08 15:00:00+00:00
BTCUSDT,0.5613,1.2794,0.4387,2026-02-08 16:00:00+00:00
BTCUSDT,0.5582,1.2632,0.4418,2026-02-08 17:00:00+00:00
BTCUSDT,0.5556,1.2503,0.4444,2026-02-08 18:00:00+00:00
BTCUSDT,0.5539,1.2418,0.4461,2026-02-08 19:00:00+00:00
BTCUSDT,0.5524,1.2341,0.4476,2026-02-08 20:00:00+00:00
BTCUSDT,0.5527,1.2357,0.4473,2026-02-08 21:00:00+00:00
BTCUSDT,0.5536,1.2401,0.4464,2026-02-08 22:00:00+00:00
BTCUSDT,0.5549,1.2465,0.4451,2026-02-08 23:00:00+00:00
BTCUSDT,0.5547,1.2457,0.4453,2026-02-09 00:00:00+00:00
